,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-6858665134018491791,Chat Smarter with Allo,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Here's proof that Google is getting serious about battling Facebook in a key area,Wide & Deep Learning: Better Together with TensorFlow,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",This Super Accurate Portrait Selection Tech Uses Neural Networks
-6843047699859121724,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Why Is Learning Drupal Hard?,Docker 1.12: Now with Built-in Orchestration!,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery
-6840859460575237450,Este texto do Ranieri é a melhor coisa que você lerá hoje,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Will blockchain drive the fourth Industrial Revolution?,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,Agronegócio mantém crescimento com tecnologia - inova.jor
-6820241302436968068,Goodbye accountants! Startup builds AI to automate all your accounting,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Banking Needs a Customer Experience Wake-Up Call,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Confused by blockchains? Revolution vs Evolution,Itaú é pioneiro do blockchain
-6783772548752091658,Livro: Retrospectivas Divertidas,Cinco competências comportamentais para você ser um bom líder,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,Time to Re-Think Design Thinking,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber
-6778286518036232293,The Future of Business is Design,The End Of Apps As We Know Them - Inside Intercom,A digital crack in banking's business model,"No Brasil, '25% dos celulares ainda são 'Burrofones'",Pinterest's Real-World Pins Let In-Store Shoppers Save Real Items to Virtual Boards,Skill swarms - a new way to share expertise and work smarter together - Skillhive
-6772940823843058601,Visa inaugura centro para inovação em pagamento digital | EXAME.com,The Business Case for Progressive Web Apps,Effective learning through code workshops | Box Blog,Promises | Web Fundamentals - Google Developers,You don't talk about refactoring club,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog
-6728844082024523434,Seniority,When to make a Git Commit,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",The Ten Commandments of Egoless Programming,"Don't Start Big, Start a Little Snowball","Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery"
-6727357771678896471,This Super Accurate Portrait Selection Tech Uses Neural Networks,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",5 reasons your employees aren't sharing their knowledge,Wide & Deep Learning: Better Together with TensorFlow,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab
-6726685468116057064,Steak Tartare com Salada Verde,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,The Genderbread Person v3 | It's Pronounced Metrosexual,"Google acquires Synergyse, an interactive training service for Google Apps",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Startups apostam em aplicativos que conectam fretes e caminhoneiros
-6707474286910397949,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Dries Buytaert,An overview of web service solutions in Drupal 8,Acquia Engage Awards Finalists Announced,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery"
-6697357763177451167,Starbucks tem mais dinheiro do cliente em cartões do que bancos,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Goodbye accountants! Startup builds AI to automate all your accounting,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,The Drive to Bank on Digital
-6654470039478316910,Advanced Android Espresso,Firebase Test Lab for Android,My favorite people and resources to learn Android programming from,Post: Just Say mNo to Hungarian Notation,The Broken Window Theory,The Importance of Code Reviews
-6643406494673362190,Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil,Não existe frete grátis!,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris
-6642751159620064055,What to look for in a code review ,Ultimate AI battle - Apple vs. Google,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Meet Aquifer: A build system for easier Drupal development,The Broken Window Theory,Acquia Engage Awards Finalists Announced
-6623581327558800021,"Spanner, the Google Database That Mastered Time, Is Now Open to Everyone",How enterprise architects can help ensure success with digital transformations,"What do you mean by ""Event-Driven""?",The Internet of Things is looking for its VisiCalc,Prisma for Android is now live for all in the Google Play Store,Berners-Lee quer criar outra Web
-6603970730135147059,Pesquisadores do MIT desenvolvem tecnologia que digitaliza livros fechados - Geek,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Client-side ranking to more efficiently show people stories in feed,Programming by poking: why MIT stopped teaching SICP,Angular 2
-6603351162010419903,VersionOne AgilelIVE™ Webinar Series| SAFe® Expert Webinar,"Agile is Dead, Long Live Continuous Delivery - Gradle",Do you want Crappy Agile?,Changing change management,Design Sprint: onde o design e a velocidade importam,Brazil's Bank Itaú Joins R3 Blockchain Consortium - CoinDesk
-6592496241044177853,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",StrictMode for Runtime Analysis on Android - Google Developers,"Fresco, sim! - Android Dev BR",Creating Compound Views on Android,JavaScript Conquered the Web. Now It's Taking Over the Desktop,Getting Started with Activity & Fragment Transitions (part 1)
-6590819806697898649,Listas com RecyclerView - Android Dev BR,Using DiffUtil in Android RecyclerView,Usando o git add interativo,Como testar exceções em Java com o JUnit - Code a Test,My experience with Google's Associate Android Developer Certification,Sam Newman - Backends For Frontends
-6590064508646491981,Kotlin no Backend (Parte 2) :: Concrete Solutions,Combining Spring Boot and JDBI,"Kotlin in Production - What works, Whats broken",The Netflix Tech Blog: Netflix Billing Migration to AWS,The Java 8 API Design Principles,Building Flipkart Lite: A Progressive Web App
-6584408680441477889,O que é liderança? Liderança é fazer a diversidade funcionar.,"Little girls doubt that women can be brilliant, study shows","Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Workplace diversity in Brazil: there's still a long way to go,Este é o melhor jeito de entender como as mulheres sofrem machismo na área de TI,Neural networks are inadvertently learning our language's hidden gender biases
-6579094253358169934,"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO",The future of the shopping mall,You won't recognize the new world of digital payments without this report,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Shopping app Spring's redesign could be a game-changer,Nubank pode fechar as portas se BC confirmar mudança amanhã
-6545872007932025533,Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Android Developers Summer Reading List,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",DBA BRASIL no INTEROPMIX 2016,Pesquisadores do MIT desenvolvem tecnologia que digitaliza livros fechados - Geek
-6542996094878850014,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,Google Cloud Platform sets a course for new horizons,Front in BH 2016,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,Python Is Not Java (dirtSimple.org),Assista a entrevista de Linus Torvalds no TED legendada
-6523871595334455509,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Why Evernote Is Giving Up on Its Data Centers for Google Cloud,Chrome OS now has Material Design for the desktop,Closure Compiler in JavaScript,New settings for 2-Step Verification,Why Google App Engine rocks: A Google engineer's take
-6484638837208285334,"5 awesome Google Keep features you aren't using, but should be","Secret's founder returns with Bold, a Medium for enterprise","Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",The AI business landscape,Why the customer experience matters,"Google launches Springboard, an AI-powered assistant for its enterprise customers"
-6467708104873171151,5 reasons your employees aren't sharing their knowledge,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","Secret's founder returns with Bold, a Medium for enterprise",This Super Accurate Portrait Selection Tech Uses Neural Networks,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Text summarization with TensorFlow
-6444494220871855741,Novo padrão de rede cabeada pode oferecer até 5 Gbps transferência de dados,Hacked Website Report - 2016/Q3,Containers are not VMs,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",CSS Containment in Chrome 52 | Web Updates - Google Developers,Most Interesting APIs in 2016: Cognitive Computing
-6400214860728938634,"How to build a robot that ""sees"" with $100 and TensorFlow",15 Interesting JavaScript and CSS Libraries for October 2016,Dark Scrum,Visa inaugura centro para inovação em pagamento digital | EXAME.com,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,Cubr
-6369211973034956889,Getting Started with Activity & Fragment Transitions (part 1),Up your app's sharing game with DirectShare - Google Developers,Building more accessible technology,StrictMode for Runtime Analysis on Android - Google Developers,Designing smart notifications,"Fresco, sim! - Android Dev BR"
